name,predict,position,team,value,PPM,selected,cost
Ashley Young,6.371141724080964,DEF,Everton,46.00000000000001,1.385030809582818,1,4.6000000000000005
Vitalii Mykolenko,5.494576808163266,DEF,Everton,43.0,1.277808560037969,1,4.3
James Tarkowski,5.100780112417716,DEF,Everton,48.0,1.0626625234203577,1,4.8
William Saliba,6.398839803728926,DEF,Arsenal,62.0,1.0320709360853106,1,6.2
Daniel Muñoz,4.415730506352567,DEF,Crystal Palace,47.0,0.9395171290111844,1,4.7
Jamie Vardy,5.74951274381224,FWD,Leicester,55.00000000000001,1.0453659534204072,1,5.500000000000001
Yoane Wissa,5.649110089896432,FWD,Brentford,62.0,0.9111467886929728,1,6.2
Alexander Isak,6.302948204825817,FWD,Newcastle,86.00000000000001,0.7329009540495135,1,8.600000000000001
Jordan Pickford,5.262837227648426,GKP,Everton,49.0,1.074048413805801,1,4.9
Caoimhin Kelleher,4.897801936862244,GKP,Liverpool,46.00000000000001,1.0647395514917921,1,4.6000000000000005
Enzo Fernández,7.864795986151741,MID,Chelsea,50.0,1.572959197230348,1,5.0
Kevin Schade,7.304802596769015,MID,Brentford,51.00000000000001,1.432314234660591,1,5.1000000000000005
Alex Iwobi,7.413197055775392,MID,Fulham,57.00000000000001,1.3005608869781387,1,5.700000000000001
Mohamed Salah,14.210988267175573,MID,Liverpool,133.0,1.0684953584342536,1,13.3
Cole Palmer,11.534240729957538,MID,Chelsea,111.0,1.0391207864826613,1,11.1
